country_code,country,region,overall_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
BEL,Belgium,OECD,79.45505844,99.453,71.22025,93.39183333,95.31666667,87.83575,70.5962,73.97,84.28071429,97.10128571,100,88.14575,44.93885714,52.888,56.674,81.7988,85.76263636,67.36225
NLD,Netherlands,OECD,79.42118915,99.265,67.65225,95.67085714,99.293,85.1,87.1896,72.01725,86.26257143,93.41057143,89.793,92.89725,47.65214286,43.279,55.329,77.8632,86.66627273,70.81925
JPN,Japan,OECD,79.41412774,99.2955,75.177625,94.57407692,93.93433333,61.6995,84.9298,72.6325,88.19614286,94.40028571,80.5195,84.20966667,66.05957143,73.465,55.83783333,63.1462,86.32163636,75.641
HUN,Hungary,OECD,79.39344534,98.929,70.321625,83.63961538,92.7565,66.79875,86.5822,73.93525,84.64957143,80.27914286,92.729,89.30675,76.06671429,77.907,,86.4808,69.10890909,54.05975
SVK,Slovak Republic,OECD,79.12032612,99.153,72.33825,87.78271429,81.98366667,73.665,81.7688,77.2395,81.49128571,73.57285714,100,83.9575,69.39357143,70.56533333,,89.2048,77.82227273,58.969
ITA,Italy,OECD,78.78683607,97.5035,69.82725,93.86342857,94.19,74.34975,80.8128,76.86225,79.86285714,87.505,77.905,74.64,71.55057143,79.86833333,62.645,79.9102,72.92127273,65.159
MDA,Moldova,E. Europe & C. Asia,78.63437562,98.6685,63.0395,76.634,99.62675,76.76,70.3924,78.9995,75.864,40.20814286,99.594,87.47075,79.09057143,90.578,,89.2982,68.0798,77.16625
CAN,Canada,OECD,78.49677968,99.6005,63.535,93.87384615,99.39966667,83.909,86.1186,80.28025,84.589,87.27514286,89.331,90.62975,51.69214286,39.61833333,62.1045,60.78,81.78427273,79.92425
NZL,New Zealand,OECD,78.43333065,,59.525,92.4825,94.14033333,91.37425,89.6166,84.31825,87.75014286,89.893,81.25,87.58125,49.02585714,66.05533333,53.18133333,48.9648,87.41054545,72.64225
GRC,Greece,OECD,78.36883446,99.2315,66.624875,90.32485714,97.13575,65.4365,87.651,76.40125,73.79314286,81.571,84.6125,85.57775,64.80957143,80.218,65.81916667,81.1728,71.08127273,60.80925
ISL,Iceland,OECD,78.26644181,99.8645,53.48428571,96.40807143,98.09333333,94.02166667,59.7898,99.55075,77.66766667,87.427,100,86.7695,37.72942857,51.42333333,62.7778,54.3635,93.836625,77.32225
CHL,Chile,OECD,78.22377122,96.352,71.542875,88.39514286,97.76625,77.73075,89.3798,81.2805,84.06914286,75.332,25.493,85.52425,77.751,82.279,80.1826,61.1478,69.785,85.793
KOR,"Korea, Rep.",OECD,78.06195027,99.4785,82.902125,92.78361538,92.33125,66.30325,74.0228,70.5735,85.52114286,99.12885714,82.632,87.03233333,73.10371429,69.745,55.42816667,54.1298,77.8756,64.0615
URY,Uruguay,LAC,77.73837361,98.4625,67.56225,84.73392857,90.70775,76.3755,75.793,97.52225,84.24171429,59.87171429,51.8315,92.535,70.79157143,92.45266667,60.00066667,59.0504,78.12727273,81.49266667
LUX,Luxembourg,OECD,77.64534955,99.9735,58.858875,96.47442857,98.282,85.25566667,81.5924,56.4905,85.68328571,88.55171429,84.001,99.01425,39.52171429,49.36533333,,67.6936,89.69418182,73.3805
BLR,Belarus,E. Europe & C. Asia,77.4952914,99.081,63.578625,83.56271429,94.942,78.9605,83.313,70.2905,66.60914286,55.48642857,100,84.99625,71.07071429,68.59566667,,94.3388,61.23309091,76.0475
ROU,Romania,E. Europe & C. Asia,77.46052633,98.581,72.9345,80.58042857,84.5695,55.135,76.2582,76.434,83.16857143,69.40671429,77.2185,85.27025,79.174,87.21733333,86.6624,79.5096,73.4457,51.26325
SRB,Serbia,E. Europe & C. Asia,77.33697175,99.9835,75.80475,82.45528571,93.61375,64.9175,75.0428,71.41075,81.74642857,71.88957143,75.266,73.22133333,85.38671429,88.52933333,,60.7516,65.92318182,83.472
LTU,Lithuania,OECD,76.80511203,99.9835,59.638,86.08364286,98.1385,75.914,78.8314,69.94325,81.09857143,75.52928571,70.889,82.81975,46.879,58.388,81.9862,95.2836,84.76445455,59.51675
UKR,Ukraine,E. Europe & C. Asia,76.51769791,,67.898125,75.40464286,91.87533333,67.69725,76.056,70.717,78.36914286,49.93983333,100,80.18575,84.51171429,85.7935,61.366,79.6278,62.796,76.77375
USA,United States,OECD,75.91439705,98.8635,68.605375,88.67678571,93.91233333,76.791,83.6262,73.51125,81.904,97.83,57.469,89.34625,59.90742857,52.51833333,65.65916667,60.4094,68.58472727,72.93
AUS,Australia,OECD,75.90411851,99.3485,58.37025,95.21628571,89.56833333,82.0105,93.8984,72.20175,86.67157143,92.22671429,79.1725,88.232,52.33628571,16.85833333,65.944,62.621,83.12809091,72.5655
MLT,Malta,E. Europe & C. Asia,75.52944579,99.762,66.262375,91.15361538,99.11175,64.72425,48.7066,72.073,87.28016667,71.73971429,86.633,88.25075,58.10485714,79.18133333,69.425,82.68466667,64.8515,54.056
GEO,Georgia,E. Europe & C. Asia,75.01713789,88.0635,55.53785714,75.13621429,96.887,61.82925,80.309,79.795,74.19857143,53.10957143,75.1725,83.94475,85.62885714,90.979,61.1032,69.3458,74.30427273,69.947
THA,Thailand,East & South Asia,74.73862913,98.602,58.642,79.68464286,97.97825,70.688,76.0088,72.743,77.199,67.40942857,73.1555,86.56875,80.63085714,81.6255,64.21766667,60.2188,62.845,62.3395
BGR,Bulgaria,E. Europe & C. Asia,74.62004755,99.9835,68.189625,79.283,79.548,71.6325,66.293,71.28766667,82.26371429,66.18857143,51.0345,73.373,75.08371429,84.17266667,65.6684,94.1426,68.5046,71.89175
KGZ,Kyrgyz Republic,E. Europe & C. Asia,74.4054343,92.081,60.38314286,74.91292857,92.57825,61.65225,66.4228,78.0855,69.62028571,37.527,92.669,89.226,91.93457143,94.81433333,,70.873,55.2053,71.593
CUB,Cuba,LAC,74.13561626,,60.85785714,84.55585714,92.38425,83.43725,73.1642,76.55675,93.38275,40.385,,64.67325,88.3902,91.5955,75.21966667,71.6644,60.45983333,87.9
BIH,Bosnia and Herzegovina,E. Europe & C. Asia,74.01986096,99.863,63.80314286,76.87830769,64.14333333,47.127,73.244,71.337,76.868,47.32185714,80.7535,74.637,78.26142857,88.20666667,83.722,81.3236,66.1678,84.68
ISR,Israel,OECD,73.97033908,98.626,55.39171429,96.33516667,99.58433333,76.098,68.2082,71.72125,84.28933333,94.72957143,71.5535,84.626,66.55742857,67.15266667,37.5392,49.3564,69.59725,66.12975
RUS,Russian Federation,E. Europe & C. Asia,73.78628002,98.843,59.07257143,80.25607692,97.117,67.29475,75.1154,64.42325,81.61285714,75.94571429,78.9655,83.35566667,80.56085714,69.881,53.43616667,66.0982,47.7605,74.62825
BRA,Brazil,LAC,73.68939304,93.3005,68.7175,77.65214286,85.9325,70.368,86.0712,90.61175,76.01157143,68.969,19.859,80.8665,83.52271429,93.86133333,63.77983333,61.653,56.90663636,74.6365
ARG,Argentina,LAC,73.68521877,96.826,68.66925,81.01092857,97.85,82.61125,77.9412,73.03475,79.16428571,54.57728571,41.061,83.35,78.13528571,88.77466667,61.72416667,60.0204,61.674,66.22425
CRI,Costa Rica,OECD,73.55689326,93.773,53.907375,88.28771429,99.1685,82.03675,74.5466,85.46025,74.44571429,59.61985714,19.296,90.87675,77.04114286,89.791,56.319,65.1136,73.80618182,66.97775
AZE,Azerbaijan,E. Europe & C. Asia,73.52747282,100,62.72957143,72.94335714,87.66675,54.683,66.2692,67.84475,73.7565,41.183,97.5,82.194,86.30242857,82.67966667,,65.7224,67.14514286,76.03325
ALB,Albania,E. Europe & C. Asia,73.50609736,98.6285,59.25185714,81.91864286,86.8065,60.8485,73.7458,84.3385,66.18742857,43.613,88.071,77.366,81.69728571,90.576,50.172,79.6008,60.69809091,66.08375
VNM,Vietnam,East & South Asia,73.32232265,97.0075,73.62975,69.86335714,97.3805,74.3825,74.2558,69.012,76.19914286,58.10528571,70.388,87.812,90.18828571,92.233,47.661,44.574,64.37736364,59.41
ARM,Armenia,E. Europe & C. Asia,73.25805222,96.2985,53.63628571,76.96661538,66.6645,68.44375,65.6224,74.42725,73.3895,46.70385714,100,75.57725,88.38,91.86533333,,61.942,75.554375,64.60125
FJI,Fiji,Oceania,72.87704416,89.6515,61.233375,71.16769231,93.64233333,59.0315,72.39325,63.353,53.2625,60.35083333,88.118,93.97566667,84.62033333,96.0175,73.07966667,45.7826,71.831,61.399
TUN,Tunisia,MENA,72.50349745,97.9125,61.53875,78.91871429,93.11866667,50.97175,63.9376,70.20325,62.53557143,55.93942857,80.8475,65.40125,86.689,93.076,63.31216667,70.9024,60.57590909,76.679
CYP,Cyprus,E. Europe & C. Asia,72.49166359,99.914,53.66114286,91.0815,93.93675,68.08366667,67.8766,74.06,74.77728571,75.83842857,85.5075,77.8255,50.84985714,68.11366667,50.19033333,79.0112,74.7126,46.91825
MKD,North Macedonia,E. Europe & C. Asia,72.46901727,96.165,62.59042857,76.88569231,66.5815,59.03825,71.8312,69.90075,69.975,46.70657143,81.5345,65.58533333,81.20542857,90.827,,81.2388,73.92581818,72.668
BTN,Bhutan,East & South Asia,72.33907578,94.7625,57.9456,73.53764286,87.1575,61.641,69.5798,73.88325,72.1038,42.47966667,64.369,84.55333333,88.10171429,89.9455,,65.721,80.0225,63.19325
DOM,Dominican Republic,LAC,72.13519314,95.927,75.679375,66.62128571,74.2295,71.8335,67.6394,69.13725,74.393,46.75283333,54.6765,84.3185,83.128,91.827,83.89916667,75.1442,53.30227273,57.7895
CHN,China,East & South Asia,72.00816749,98.052,83.401125,83.39846154,99.531,78.1855,68.9986,67.7165,78.89728571,80.27371429,34.9295,79.459,86.99928571,77.6405,55.7345,48.935,60.582125,41.40475
SGP,Singapore,East & South Asia,71.77703382,,76.17066667,94.41085714,98.616,75.1175,74.1524,71.96175,74.81657143,91.35585714,,96.05275,51.64271429,57.525,47.2024,26.4775,83.1834,48.97233333
PER,Peru,LAC,71.65907643,86.018,71.42375,80.8245,98.7865,74.927,77.9804,74.35125,74.63885714,44.75114286,33.761,70.45275,87.83928571,93.51233333,78.67566667,55.278,54.26636364,60.7175
KAZ,Kazakhstan,E. Europe & C. Asia,71.64826315,98.655,53.442,79.99757143,86.19125,75.8965,72.3634,61.76475,76.78742857,48.53642857,96.3275,85.9425,78.46885714,57.06166667,,62.5034,62.5497,56.2185
MNE,Montenegro,E. Europe & C. Asia,71.40438382,98.945,51.76114286,75.6685,88.159,56.857,65.20933333,79.0845,61.567,61.59685714,66.6515,74.71575,70.36733333,92.7875,52.0974,54.258,78.451375,85.69733333
MDV,Maldives,East & South Asia,71.27199736,100,44.6,86.88953846,96.57375,38.50475,73.67125,64.169,72.38633333,47.80116667,92.6525,80.32225,74.76933333,89.7775,63.16066667,51.45,66.44666667,68.44925
UZB,Uzbekistan,E. Europe & C. Asia,71.14824663,61.5585,67.45957143,77.21428571,85.146,85.07925,58.8052,63.3,72.46428571,40.82642857,71.545,87.25866667,93.01183333,92.82,,64.7364,59.821,63.15975
MAR,Morocco,MENA,70.86945567,90.3785,64.697375,73.08585714,78.56875,43.7715,63.4674,69.95,69.12357143,55.07714286,53.9425,76.22475,91.307,94.22633333,71.87266667,76.6588,62.2636,70.165
DZA,Algeria,MENA,70.83361592,97.673,57.56114286,77.34692857,70.05425,41.0435,58.0126,65.5305,67.45814286,53.87014286,97.015,62.64725,89.18442857,88.62666667,64.7675,67.0636,65.25981818,81.057
TUR,Türkiye,OECD,70.77861136,98.127,65.156,84.55869231,89.42075,47.6235,73.293,72.14933333,69.978,71.88971429,45.031,71.545,82.20657143,86.683,58.6265,53.8654,58.53318182,74.54975
SLV,El Salvador,LAC,70.65896551,93.9875,56.22275,80.27892857,81.5865,65.16725,72.5926,72.65975,71.72971429,37.59071429,57.7405,86.2915,87.02814286,94.843,43.6065,70.0892,60.44736364,69.3405
ECU,Ecuador,LAC,70.43423838,83.9455,57.8015,78.3745,90.54675,79.506,75.2924,74.36825,75.86228571,48.93028571,22.1125,76.1415,86.27971429,92.678,80.25116667,57.9468,51.8824,65.4625
IDN,Indonesia,East & South Asia,70.16289734,86.0555,66.61325,64.84042857,92.18425,63.7675,70.082,64.45825,77.36285714,50.664,60.9145,75.33925,89.69828571,92.49766667,69.75666667,51.4342,64.7139,52.38675
COL,Colombia,OECD,70.05009086,77.714,65.248125,82.66221429,92.3275,69.4005,79.384,77.57275,71.18414286,49.03428571,12.3945,83.3005,87.69285714,90.087,57.34533333,65.0232,54.34263636,76.138
JOR,Jordan,MENA,69.87478579,98.6615,56.88525,74.36523077,59.11075,39.806,55.218,72.866,64.64357143,61.041,77.049,74.28275,89.13257143,91.36566667,90.39475,55.1385,65.41581818,62.495
MYS,Malaysia,East & South Asia,69.8497457,98.879,49.419,80.09521429,88.01225,58.29675,76.2612,68.28525,77.98614286,81.04571429,47.4385,81.754,78.241,77.881,68.2105,38.4356,59.94155556,57.263
ARE,United Arab Emirates,MENA,69.71476573,99.6705,64.7955,86.21407692,98.168,74.3265,57.963,69.24575,63.70966667,88.26857143,100,85.39066667,51.90828571,9.832666667,72.72166667,55.51666667,70.3545,37.065
MEX,Mexico,OECD,69.70547768,86.266,61.12975,79.70114286,95.9905,80.59675,70.961,68.57725,68.43971429,57.85514286,38.226,83.3645,81.69728571,86.825,62.63366667,55.4426,46.70281818,60.584
EGY,"Egypt, Arab Rep.",MENA,69.61848903,88.0245,65.252875,69.38561538,67.86375,57.726,65.0694,69.85575,64.92057143,57.92414286,83.9285,68.51175,91.18942857,95.09533333,51.47083333,68.346,60.14236364,58.8075
JAM,Jamaica,LAC,69.59087411,90.0045,59.067375,78.18257143,81.78266667,78.338,70.0882,64.1845,76.86471429,52.73171429,25.617,83.60333333,81.282,91.00566667,62.2364,56.2224,61.03081818,70.803
LKA,Sri Lanka,East & South Asia,69.40149899,86.239,68.964625,78.4965,98.91633333,52.4145,50.195,61.78775,79.71285714,53.862,54.5995,76.16466667,90.06071429,95.851,72.7305,56.8934,53.60363636,49.3335
BRB,Barbados,LAC,69.35155723,,56.71625,82.50853846,92.1395,72.46375,52.424,70.69575,69.4395,59.994,,90.4975,55.846,89.6335,63.90116667,63.04675,70.37022222,73.62133333
TJK,Tajikistan,E. Europe & C. Asia,69.18514074,82.961,65.32833333,67.24628571,73.4945,56.50125,59.5098,86.64125,76.05283333,16.25628571,76.4385,79.6735,93.69,97.21766667,,60.991,68.03466667,50.7965
IRN,"Iran, Islamic Rep.",MENA,69.09183116,93.9585,64.090875,80.56735714,83.0155,42.94925,60.2454,64.33125,62.45328571,67.23042857,48.4705,73.99433333,85.78,80.382,79.409,67.4226,60.4211,59.83975
BOL,Bolivia,LAC,68.85065457,91.735,64.8735,66.80057143,90.641,69.546,69.0738,64.60175,75.38428571,33.71742857,35.199,71.8065,91.85942857,93.20133333,,61.6452,48.89681818,76.45275
PRY,Paraguay,LAC,68.84061334,95.0725,73.7825,71.99121429,75.29575,67.16725,76.5172,84.984,72.99085714,40.16457143,35.7465,80.0055,80.23228571,91.9715,,51.9414,47.47263636,59.928
CPV,Cabo Verde,Sub-Saharan Africa,68.83571071,84.865,44.97566667,75.47061538,79.23,76.15,67.392,61.9165,58.66266667,41.0195,41.608,79.5235,81.2655,97.1475,57.0488,71.64025,79.25733333,73.03425
OMN,Oman,MENA,68.58835074,,57.936,83.54692857,84.97625,37.191,50.4684,66.97025,80.9068,67.18471429,,83.3465,74.166,33.656,77.932,62.199,67.2834,74.33133333
TKM,Turkmenistan,E. Europe & C. Asia,68.46722124,98.922,58.57742857,69.44969231,99.635,78.43425,57.2766,57.8515,70.056,16.08116667,,82.7015,81.70133333,59.3205,,63.8434,74.91375,45.33766667
SUR,Suriname,LAC,68.24533686,,63.37642857,70.23235714,67.274,66.9015,71.38125,70.63725,55.8775,42.1194,,83.3565,80.683,88.5575,77.00383333,78.1342,63.42054545,65.53675
MUS,Mauritius,Sub-Saharan Africa,67.9773422,98.0325,71.52333333,75.22978571,83.504,52.29075,71.0915,70.31125,74.622,51.78914286,65.339,87.73066667,74.42666667,91.3925,48.97416667,27.40975,60.78655556,51.16125
SAU,Saudi Arabia,MENA,67.69215149,100,56.854625,80.68546154,78.47325,44.5985,59.0856,68.64825,77.4758,74.72428571,,63.63633333,66.01957143,33.75,64.75433333,49.01425,75.23042857,80.86475
LBN,Lebanon,MENA,67.52014468,98.731,56.64314286,74.33692857,99.617,45.17175,66.2592,61.94933333,54.14728571,73.32333333,84.4435,60.915,80.70928571,86.791,65.7902,57.0446,51.8929,30.077
GUY,Guyana,LAC,67.39975115,99.1295,66.678625,65.48978571,89.7655,65.24025,69.212,61.93425,74.2665,35.71566667,,84.117,86.08566667,82.814,36.5794,73.0866,55.96818182,66.136
PAN,Panama,LAC,67.32492941,94.6965,50.27325,78.94830769,80.69925,66.391,71.2212,71.513,71.17757143,46.609,18.5915,89.992,76.24585714,71.71,70.30666667,66.587,62.08736364,57.47433333
PHL,Philippines,East & South Asia,67.14368186,80.5085,68.838625,58.24071429,78.49475,64.25425,70.373,58.95375,69.18528571,44.43971429,42.249,73.48025,92.23928571,95.363,74.86716667,58.6328,51.9175,59.405
NPL,Nepal,East & South Asia,66.46962887,81.3985,68.574,59.62076923,83.90075,50.687,70.8014,48.4845,67.805,37.92628571,80.2225,46.57075,96.46557143,97.70133333,,68.9436,55.427,54.6875
QAT,Qatar,MENA,66.23854149,,69.563,88.67092857,89.90175,55.27875,52.9116,66.678,69.93,84.07685714,,57.143,55.78414286,0,79.7456,67.59566667,76.70385714,48.16466667
BGD,Bangladesh,East & South Asia,65.91095145,79.1025,70.8125,60.49792857,89.706,54.491,67.331,49.7375,74.55514286,40.99366667,81.3485,49.32025,95.63857143,96.3285,65.16533333,53.5936,47.63418182,44.23
BRN,Brunei Darussalam,East & South Asia,65.70781891,,57.635875,85.64275,96.97375,62.009,59.158,62.9365,68.7956,76.39657143,,99.858,48.549,1.289,49.65,68.212,61.69933333,65.67566667
KHM,Cambodia,East & South Asia,64.8362397,,68.992875,62.04521429,66.46025,56.33425,62.8512,57.3235,62.20857143,34.83085714,,76.801,93.59857143,95.12266667,59.96316667,48.8396,49.21172727,55.08075
NIC,Nicaragua,LAC,64.79990658,71.735,54.83875,74.8295,77.983,83.88075,66.3406,59.741,67.61628571,30.00542857,23.662,73.15775,87.30771429,96.98233333,61.9385,64.105,49.3703,58.1045
IRQ,Iraq,MENA,64.79264473,,53.15414286,61.34984615,69.874,44.17225,62.6434,63.86375,57.8696,34.71185714,91.4955,57.97525,86.21371429,85.5165,69.5174,40.35375,64.028,71.77975
MNG,Mongolia,East & South Asia,64.69436642,94.609,48.91385714,63.99035714,94.58625,65.03675,64.8576,37.1815,70.874,39.75914286,81.051,50.373,67.876,51.99,,74.9382,59.26209091,73.73825
BLZ,Belize,LAC,64.59998318,62.125,68.670125,74.25892857,60.7335,58.2065,68.2958,76.2585,65.98116667,38.3652,,76.372,79.637,92.747,70.1262,48.0162,53.4165,71.41325
KWT,Kuwait,MENA,64.43399278,,67.5205,86.92053846,63.613,51.26975,55.0112,68.80925,76.9652,64.15171429,,77.524,61.96257143,32.37833333,46.9608,52.08633333,64.7268,61.5705
NAM,Namibia,Sub-Saharan Africa,64.28167339,61.097,49.93525,49.89435714,83.695,87.63425,56.0122,46.244,64.03814286,38.43571429,5.493,65.16725,83.70116667,91.187,79.36266667,89.8596,64.3756,76.65625
ZAF,South Africa,Sub-Saharan Africa,64.0031979,51.704,56.7845,56.95485714,76.629,76.7865,62.4386,59.6945,69.77571429,70.80171429,0,80.47325,84.35242857,82.70066667,70.88483333,57.7588,55.118,75.197
BHR,Bahrain,MENA,63.74123939,,66.44583333,86.78928571,85.22425,52.563,67.8794,71.428,81.8854,63.67128571,,65.7,67.39442857,14.6335,47.9888,45.27666667,64.72883333,38.085
IND,India,East & South Asia,63.44921401,86.2335,54.39175,64.79164286,89.29225,46.254,58.1254,66.2085,73.708,50.96057143,38.4505,50.04625,94.77885714,94.281,62.34316667,45.6134,48.5116,54.64625
GAB,Gabon,Sub-Saharan Africa,63.092157,88.682,51.60071429,50.47828571,60.81766667,45.22625,61.365,85.06575,66.62257143,36.15271429,61.8055,54.67025,83.6066,89.9155,65.82816667,83.193,40.2857,47.251
TTO,Trinidad and Tobago,LAC,62.98199761,98.224,54.251125,81.944,85.46075,66.94325,70.6105,56.21175,75.3656,39.88042857,,78.74733333,62.77133333,40.89,51.5255,54.106,56.68954545,63.496
LAO,Lao PDR,East & South Asia,62.96379588,65.744,65.751375,53.58864286,70.1495,68.119,69.1636,57.6405,72.8315,30.85171429,57.428,77.224,92.842,92.45833333,,46.4678,45.72483333,43.6325
HND,Honduras,LAC,62.94584397,70.3035,53.925875,70.15578571,61.02225,66.744,72.428,60.73825,67.17214286,28.43028571,20.845,76.902,89.83271429,95.76066667,62.533,69.4354,40.59772727,63.25275
VEN,"Venezuela, RB",LAC,62.88269669,19.7385,52.42175,62.81884615,81.19475,68.05,76.2892,75.28375,76.61014286,34.78557143,28.5715,71.169,82.566,92.8675,81.286,80.701,32.488,52.16433333
BWA,Botswana,Sub-Saharan Africa,62.73762598,64.81,45.07875,51.27378571,65.81225,69.3605,68.1444,48.7545,63.988,53.45671429,13.662,76.24425,84.63614286,89.344,,74.4228,62.4492,68.76775
STP,Sao Tome and Principe,Sub-Saharan Africa,62.73294667,48.1955,60.65128571,63.55630769,69.07425,51.41525,51.426,38.79575,48.57,29.85816667,48.346,71.13066667,95.80566667,98.5075,79.90766667,81.06225,78.03733333,52.1205
CIV,Cote d'Ivoire,Sub-Saharan Africa,62.25928754,73.724,65.3585,43.14807143,53.2135,50.70125,55.2488,47.20025,76.43485714,33.22957143,64.119,50.423,95.74257143,97.79566667,79.258,72.9158,52.8063,47.08875
SEN,Senegal,Sub-Saharan Africa,61.8294028,67.873,61.802,57.78757143,31.6605,44.3055,64.811,41.1265,78.71914286,36.92871429,60.258,63.57125,95.02128571,97.57333333,68.4245,66.3012,54.0286,60.90775
GHA,Ghana,Sub-Saharan Africa,61.79869089,54.358,70.778625,52.81207143,84.542,54.939,57.6814,50.922,76.42885714,46.75342857,35.215,48.87425,95.44528571,96.56733333,44.86416667,69.4466,64.96372727,45.986
KEN,Kenya,Sub-Saharan Africa,60.91303634,49.434,58.452125,51.03028571,71.129,70.0455,46.664,41.5275,75.73257143,39.165,49.549,55.62,94.73428571,98.407,69.818,58.7004,51.0567,54.45625
BHS,"Bahamas, The",LAC,60.8605604,,63.44728571,80.65853846,58.045,71.97225,48.84475,70.75,66.4094,56.97116667,,93.793,52.90814286,68.78733333,60.09483333,44.5184,52.40071429,29.35
MMR,Myanmar,East & South Asia,60.44313051,57.98,65.89975,49.82842857,61.1155,57.457,68.4666,44.60075,66.42042857,30.18471429,87.243,55.39625,94.43857143,97.53466667,47.5674,51.633,41.81690909,49.95025
RWA,Rwanda,Sub-Saharan Africa,60.19805602,23.4575,62.980125,59.01214286,61.28425,77.23825,57.7516,33.671,69.08242857,30.16857143,34.9015,57.293,94.65028571,99.269,,67.3336,68.0251,60.914
GTM,Guatemala,LAC,59.38309832,76.5485,43.4895,68.54428571,72.35025,49.851,69.018,58.1035,71.02128571,23.13985714,20.704,74.07175,90.38914286,95.89233333,55.91666667,45.9638,43.6608,50.848
PAK,Pakistan,East & South Asia,58.96764175,79.143,43.61571429,45.17753846,59.71366667,37.244,49.4294,50.2125,59.38066667,33.48885714,90.074,43.8835,94.31642857,96.6085,63.27833333,65.8076,42.23845455,48.83775
